id,alpha,sharpe,turnover,fitness,returns,drawdown,margin,weight,sub_univese,settings,min_corr,max_corr,score,code
"-(zscore(subtract(anl4_bvps_mean,bookvalue_ps)))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","-(zscore(subtract(anl4_bvps_mean,bookvalue_ps)))",0.63,0.0073,0.62,0.1216,0.3856,0.033131,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'FAIL', 'date': '2018-02-05', 'limit': 0.1, 'value': 0.5}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'FAIL', 'limit': 0.27, 'value': 0.17}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.3164,0.3556,17.0,8E3YE6l
"subtract(ts_mean(implied_volatility_mean_30,21),ts_delay(ts_mean(implied_volatility_mean_30,21),21))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","subtract(ts_mean(implied_volatility_mean_30,21),ts_delay(ts_mean(implied_volatility_mean_30,21),21))",0.97,0.1375,1.16,0.1952,0.3019,0.002839,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'FAIL', 'date': '2021-10-29', 'limit': 0.1, 'value': 0.500018}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.42, 'value': 0.73}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.1151,0.6174,76.0,QN3gx3M
"winsorize(ts_backfill(ts_delta(divide(winsorize(ts_backfill(income, 120)),winsorize(ts_backfill(cashflow_dividends, 120))),20),120))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","winsorize(ts_backfill(ts_delta(divide(winsorize(ts_backfill(income, 120)),winsorize(ts_backfill(cashflow_dividends, 120))),20),120))",0.84,0.2312,0.8,0.2101,0.3737,0.001817,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'FAIL', 'date': '2020-10-12', 'limit': 0.1, 'value': 0.474989}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'FAIL', 'limit': 0.36, 'value': -0.06}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.0853,0.1828,-132.0,7vZlgAv
"-(ts_corr(mdl77_2earningmomentumfactor400_surp, ts_delay(divide(income, assets), 90), 120))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","-(ts_corr(mdl77_2earningmomentumfactor400_surp, ts_delay(divide(income, assets), 90), 120))",1.22,0.0455,0.68,0.0388,0.0548,0.001703,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.53, 'value': 0.87}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.1927,0.5814,17.0,aQLGOL9
"if_else(and(beta_last_30_days_spy>1,historical_volatility_30<0.15),1,0)_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","if_else(and(beta_last_30_days_spy>1,historical_volatility_30<0.15),1,0)",1.57,0.2251,1.06,0.1018,0.0804,0.000905,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'FAIL'}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.68, 'value': 1.4}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.2216,0.2957,43.0,x2Y5bRm
"greater(ts_delta(est_eps, 20), 0)_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","greater(ts_delta(est_eps, 20), 0)",0.66,0.0931,0.32,0.0297,0.0924,0.000639,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'FAIL', 'limit': 0.29, 'value': 0.22}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.3538,0.5408,73.0,brRAzjm
"-(divide(subtract(ts_mean(divide(winsorize(ts_backfill(cash, 120)), winsorize(ts_backfill(liabilities_curr, 120))), 756), divide(winsorize(ts_backfill(cash, 120)), winsorize(ts_backfill(liabilities_curr, 120)))), divide(winsorize(ts_backfill(cash, 120)), winsorize(ts_backfill(liabilities_curr, 120)))))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","-(divide(subtract(ts_mean(divide(winsorize(ts_backfill(cash, 120)), winsorize(ts_backfill(liabilities_curr, 120))), 756), divide(winsorize(ts_backfill(cash, 120)), winsorize(ts_backfill(liabilities_curr, 120)))), divide(winsorize(ts_backfill(cash, 120)), winsorize(ts_backfill(liabilities_curr, 120)))))",1.11,0.0326,1.33,0.1786,0.2194,0.01095,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'FAIL', 'date': '2022-11-14', 'limit': 0.1, 'value': 0.492631}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'FAIL', 'limit': 0.48, 'value': 0.05}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.1012,0.4703,-473.0,w2YWdg2
"ts_zscore(multiply(anl4_fcf_value, inverse(beta_last_360_days_spy), inverse(vwap)), 180)_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","ts_zscore(multiply(anl4_fcf_value, inverse(beta_last_360_days_spy), inverse(vwap)), 180)",1.17,0.1731,0.73,0.0683,0.0654,0.000789,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.51, 'value': 1.02}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.1958,0.4821,-41.0,z2YLzGK
"-(divide(divide(close,est_epsr),ts_mean(divide(close,vec_avg(anl4_ady_mean)),250)))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","-(divide(divide(close,est_epsr),ts_mean(divide(close,vec_avg(anl4_ady_mean)),250)))",0.67,0.1498,0.93,0.2869,0.5722,0.00383,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'FAIL', 'date': '2018-09-28', 'limit': 0.1, 'value': 0.500016}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.29, 'value': 0.39}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.1496,0.1723,-494.0,eV9WgLl
"-(ts_zscore(ts_mean(beta_last_60_days_spy, 6), 120))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","-(ts_zscore(ts_mean(beta_last_60_days_spy, 6), 120))",0.63,0.0941,0.54,0.0918,0.1398,0.001952,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.27, 'value': 0.6}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.3022,0.278,94.0,vppxk8w
"-(ts_mean(snt1_d1_uptargetpercent, 30))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","-(ts_mean(snt1_d1_uptargetpercent, 30))",0.26,0.0407,0.12,0.0247,0.1357,0.001213,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'FAIL', 'limit': 0.11, 'value': 0.02}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.4864,0.5393,198.0,x22WMdq
"-(-(ts_mean(vec_avg(anl4_buy), 30)))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","-(-(ts_mean(vec_avg(anl4_buy), 30)))",0.26,0.0418,0.12,0.0246,0.2215,0.001179,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'FAIL', 'limit': 0.11, 'value': -0.0}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.5754,0.5405,14.0,neejOYM
"-(ts_mean(snt1_d1_buyrecpercent, 30))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","-(ts_mean(snt1_d1_buyrecpercent, 30))",0.2,0.0063,0.07,0.0152,0.1921,0.004825,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.09, 'value': 0.29}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.5735,0.5989,33.0,PYz0Klq
"-(-(abs(ts_mean(vec_avg(nws18_qmb), 30))))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","-(-(abs(ts_mean(vec_avg(nws18_qmb), 30))))",0.04,0.1615,0.0,0.002,0.1054,2.5e-05,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'FAIL', 'limit': 0.02, 'value': -0.31}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.5632,0.2817,77.0,8EJ1Xom
